date,abandoned,connected,disconnected,neverseen,cc
10/05/2019,8,0,0,7,CG
10/05/2019,1,0,0,0,GQ
10/05/2019,2,0,1,2,TD
10/05/2019,3,0,0,1,DJ
10/05/2019,2,0,0,0,KM
10/05/2019,7,0,0,3,LR
10/05/2019,1,0,0,0,ML
10/05/2019,4,0,0,0,MR
10/05/2019,9,0,0,0,NE
10/05/2019,1,0,1,0,SL
10/05/2019,2,0,0,2,SO
10/05/2019,2,0,0,0,LY
10/05/2019,9,1,9,0,EG
10/05/2019,13,1,0,4,CI
10/05/2019,0,1,0,0,CV
10/05/2019,10,1,0,1,GM
10/05/2019,8,1,1,1,AO
10/05/2019,4,1,0,0,GA
10/05/2019,18,1,0,0,SC
10/05/2019,3,1,0,0,LS
10/05/2019,2,1,0,0,SZ
10/05/2019,0,1,0,0,SH
10/05/2019,5,1,1,2,CD
10/05/2019,13,2,2,4,GH
10/05/2019,7,2,0,0,BI
10/05/2019,8,2,2,1,ET
10/05/2019,7,2,0,2,
10/05/2019,3,3,0,0,BW
10/05/2019,18,3,0,3,SD
10/05/2019,6,3,0,2,MW
10/05/2019,14,3,0,3,RW
10/05/2019,26,3,0,7,DZ
10/05/2019,8,3,0,1,ZM
10/05/2019,38,4,5,0,BJ
10/05/2019,16,4,3,1,TG
10/05/2019,5,4,2,0,MG
10/05/2019,15,4,0,4,ZW
10/05/2019,9,5,4,3,MA
10/05/2019,19,5,0,7,NG
10/05/2019,9,5,2,4,BF
10/05/2019,16,6,2,8,CM
10/05/2019,10,6,0,1,SN
10/05/2019,5,6,0,2,MZ
10/05/2019,14,7,1,1,MU
10/05/2019,16,7,3,0,RE
10/05/2019,18,7,3,2,UG
10/05/2019,30,9,6,6,TN
10/05/2019,23,10,0,4,TZ
10/05/2019,27,16,5,8,KE
10/05/2019,126,89,18,7,ZA
Total,620,231,71,104,1026